,X,Y,frame,track_ID,pred_0,pred_1,LocErrs0,LocErrs1
2055,0.24202499194307547,0.9252232300949654,6,345,0.98062624708894,0.019373752911059434,0.018631476406524766,0.02151907289276252
2056,0.5091082429666524,0.6957525480302738,0,346,0.06746764458401813,0.9325323554159816,0.01782433704134214,0.02146238968359
2057,0.3579790083885987,0.6774846310773781,1,346,0.008921786608385942,0.9910782133916138,0.018370752929316624,0.0193231174964593
2058,0.2924156237508725,0.6064554405601695,2,346,0.01011507751103196,0.9898849224889679,0.018760668975651453,0.018491533096268713
2059,0.41998411552764997,0.6557251979895927,3,346,0.22157313656143263,0.7784268634385672,0.021926051561594415,0.019590551960243893
2060,0.4579779218678916,0.5920981415158226,4,346,0.8785724421864186,0.12142755781358101,0.020530441732444227,0.02287530499166261
2061,0.4313162632659808,0.5689710049135616,5,346,0.9315284135740854,0.06847158642591432,0.015517451471556094,0.020069273639971554
2062,0.4572245285339297,0.6356197162574417,6,346,0.9577000067972393,0.042299993202760525,0.01913436139255361,0.017059213137525214
2063,0.4418702003824657,0.6065869698214418,7,346,0.9497096861240478,0.05029031387595185,0.017479924657410755,0.02017513014742907
2064,0.9169171215282251,-0.10445024879148049,0,347,0.05701454388743464,0.9429854561125652,0.020440707913803806,0.01845123388813432
2065,0.8425053445405836,0.041470947124487935,1,347,0.047255847913876374,0.9527441520861234,0.018019703665770947,0.014951862624500802
2066,0.8275948751896414,0.0416053414401328,2,347,0.04974501882098126,0.9502549811790186,0.019072578742517114,0.020863020023180752
2067,0.6950132793055168,0.14460487412347445,3,347,0.002135964788489472,0.9978640352115105,0.024755439896824025,0.019875151964594735
2068,0.8662452463001677,-0.014422730677728958,4,347,0.00739725075825689,0.992602749241743,0.023254178687016062,0.017407629077807275
2069,0.8476520080380361,0.057939753987155236,5,347,0.008652044731038741,0.9913479552689611,0.021190657470126748,0.02082828573647903
2070,0.8432009976473439,-0.16160391824542056,6,347,0.003143901462074948,0.9968560985379249,0.018197194299964043,0.019338800316358953
2071,0.9250292456822986,-0.04508666095880835,7,347,0.06078094555844007,0.93921905444156,0.020946088007067907,0.017621619439934094
2072,0.18320643072802814,0.7806654562145259,0,348,0.11018663385917327,0.8898133661408267,0.020206581291197886,0.016506394663625884
2073,0.1282230349542342,0.8657910420080509,1,348,0.002695811019746452,0.9973041889802535,0.017858773002672995,0.01860499982310406
2074,0.21292477625804315,1.0748767204823748,2,348,0.025724389810915144,0.9742756101890847,0.020485235813285464,0.022755630834476327
2075,0.22006455597290236,1.037655082162226,3,348,0.03305072380285205,0.9669492761971479,0.01744179097632973,0.01748506985093141
2076,0.13370553952577707,1.173304308912177,4,348,0.025940894225137644,0.9740591057748622,0.0169537059063539,0.02074620559069823
2077,0.135764187949451,1.2474010374162774,5,348,0.08702275223519702,0.9129772477648029,0.021672386427573798,0.02174282165321297
2078,0.18277942079354267,1.212314778467582,6,348,0.11842045800144185,0.881579541998558,0.01644924263797113,0.0180818043774392
2079,0.17828274464972035,1.1402021426990119,7,348,0.13947124507157385,0.8605287549284261,0.022353850201172327,0.01956945417033146
2080,0.4013420986766145,0.49788519657917657,0,349,0.9557005513721035,0.04429944862789601,0.01829596084878701,0.018133704245688716
2081,0.3549337575536656,0.5111826388702194,1,349,0.9703700138866256,0.029629986113374845,0.01696314423115167,0.01824852627073923
